status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
no checking account,18,all credits at this bank paid back duly,car (used),1049,unknown/no savings account,< 1 yr,< 20,female : non-single or male : single,none,>= 7 yrs,car or other,21,none,for free,1,skilled employee/official,0 to 2,no,no,good
no checking account,9,all credits at this bank paid back duly,others,2799,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,36,none,for free,2-3,skilled employee/official,3 or more,no,no,good
... < 0 DM,12,no credits taken/all credits paid back duly,retraining,841,... <  100 DM,4 <= ... < 7 yrs,25 <= ... < 35,female : non-single or male : single,none,>= 7 yrs,unknown / no property,23,none,for free,1,unskilled - resident,0 to 2,no,no,good
no checking account,12,all credits at this bank paid back duly,others,2122,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,39,none,for free,2-3,unskilled - resident,3 or more,no,yes,good
no checking account,12,all credits at this bank paid back duly,others,2171,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : married/widowed,none,>= 7 yrs,car or other,38,bank,rent,2-3,unskilled - resident,0 to 2,no,yes,good
no checking account,10,all credits at this bank paid back duly,others,2241,unknown/no savings account,< 1 yr,>= 35,male : married/widowed,none,4 <= ... < 7 yrs,unknown / no property,48,none,for free,2-3,unskilled - resident,3 or more,no,yes,good
no checking account,8,all credits at this bank paid back duly,others,3398,unknown/no savings account,4 <= ... < 7 yrs,>= 35,male : married/widowed,none,>= 7 yrs,unknown / no property,39,none,rent,2-3,unskilled - resident,0 to 2,no,yes,good
no checking account,6,all credits at this bank paid back duly,others,1361,unknown/no savings account,< 1 yr,25 <= ... < 35,male : married/widowed,none,>= 7 yrs,unknown / no property,40,none,rent,1,unskilled - resident,3 or more,no,yes,good
... >= 200 DM / salary for at least 1 year,18,all credits at this bank paid back duly,furniture/equipment,1098,unknown/no savings account,unemployed,< 20,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,65,none,rent,2-3,unemployed/unskilled - non-resident,0 to 2,no,no,good
... < 0 DM,24,no credits taken/all credits paid back duly,furniture/equipment,3758,100 <= ... <  500 DM,unemployed,>= 35,female : non-single or male : single,none,>= 7 yrs,real estate,23,none,for free,1,unemployed/unskilled - non-resident,0 to 2,no,no,good
no checking account,11,all credits at this bank paid back duly,others,3905,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,36,none,for free,2-3,skilled employee/official,3 or more,no,no,good
no checking account,30,all credits at this bank paid back duly,car (new),6187,... <  100 DM,4 <= ... < 7 yrs,>= 35,female : single,none,>= 7 yrs,building soc. savings agr./life insurance,24,none,for free,2-3,skilled employee/official,0 to 2,no,no,good
no checking account,6,all credits at this bank paid back duly,furniture/equipment,1957,unknown/no savings account,4 <= ... < 7 yrs,>= 35,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,31,none,rent,1,skilled employee/official,0 to 2,no,no,good
... < 0 DM,48,existing credits paid back duly till now,business,7582,... <  100 DM,unemployed,25 <= ... < 35,male : married/widowed,none,>= 7 yrs,real estate,31,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good
no checking account,18,no credits taken/all credits paid back duly,furniture/equipment,1936,... >= 1000 DM,4 <= ... < 7 yrs,25 <= ... < 35,female : single,none,>= 7 yrs,building soc. savings agr./life insurance,23,none,for free,2-3,unskilled - resident,0 to 2,no,no,good
no checking account,6,no credits taken/all credits paid back duly,furniture/equipment,2647,100 <= ... <  500 DM,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,4 <= ... < 7 yrs,unknown / no property,44,none,for free,1,skilled employee/official,3 or more,no,no,good
no checking account,11,all credits at this bank paid back duly,others,3939,unknown/no savings account,1 <= ... < 4 yrs,>= 35,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,40,none,rent,2-3,unskilled - resident,3 or more,no,no,good
... < 0 DM,18,no credits taken/all credits paid back duly,furniture/equipment,3213,100 <= ... <  500 DM,< 1 yr,>= 35,female : single,none,4 <= ... < 7 yrs,unknown / no property,25,none,for free,1,skilled employee/official,0 to 2,no,no,good
... < 0 DM,36,all credits at this bank paid back duly,furniture/equipment,2337,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,unknown / no property,36,none,rent,1,skilled employee/official,0 to 2,no,no,good
