Account ID,Username,Platform,Follower Count,Posts Per Week,Engagement Rate,Ad Spend (USD),Conversion Rate,Campaign Reach
1,harrislisa,TikTok,54217,3,0.0986,538.1,0.049,1308
2,rhicks,LinkedIn,987518,5,0.0834,479.24,0.0174,13302
3,qthomas,Facebook,218870,3,0.102,150.36,0.0318,11043
4,carlosholt,Instagram,207432,6,0.0834,932.62,0.04,12074
5,parsonsashley,Facebook,350204,2,0.0642,504.44,0.0463,14083
6,nicole57,Facebook,547069,6,0.0834,804.4,0.0182,26129
7,tammy32,Twitter,267622,7,0.0856,884.06,0.0196,1461
8,stephaniehouse,TikTok,870279,2,0.0642,376.75,0.0105,12523
9,andrewgregory,TikTok,40872,1,0.0834,352.48,0.0278,29048
10,amanda20,Facebook,591103,2,0.102,907.34,0.0443,8437
11,qhood,TikTok,511595,1,0.0642,610.44,0.0116,45067
12,tprice,TikTok,827728,6,0.0642,858.82,0.0342,29938
13,robertpalmer,Instagram,637204,4,0.0642,924.61,0.0143,38384
14,gilbertdavid,Twitter,866806,2,0.0642,757.24,0.0423,37502
15,gsharp,Twitter,148081,3,0.0856,98.99,0.0118,25808
16,katieking,Facebook,618549,3,0.0834,887.03,0.0249,7280
17,michaelgonzales,Twitter,412047,1,0.0642,869.5,0.0155,1453
18,jeff87,Facebook,988072,6,0.102,997.04,0.0412,3879
19,lrusso,Instagram,396431,3,0.0856,222.59,0.0193,15123
20,yvettepotts,TikTok,653790,1,0.0642,129.94,0.0413,12944
21,mcculloughedward,Facebook,768753,5,0.102,741.67,0.0105,5073
22,destinymartinez,Facebook,716720,1,0.0856,423.76,0.044,20004
23,carlosholt,TikTok,693593,5,0.102,779.45,0.0208,4053
24,sancheztroy,TikTok,680719,5,0.102,794.46,0.0261,42691
25,cassandramiles,Facebook,825951,2,0.0856,317.31,0.0427,42518
26,brian06,Facebook,480900,7,0.0986,357.45,0.0412,49640
27,kwashington,TikTok,361099,4,0.0986,968.85,0.0239,48006
28,hevans,Facebook,941481,4,0.0642,780.56,0.0283,21873
29,qramos,Twitter,8146,4,0.0856,143.89,0.0245,26481
30,ctorres,Facebook,758089,5,0.0856,741.79,0.0432,8841
31,pamelagonzalez,Facebook,106222,2,0.0834,868.53,0.0262,24586
32,davisjose,LinkedIn,706138,1,0.0856,872.61,0.0493,32890
33,ctorres,TikTok,126614,4,0.0642,301.92,0.0117,16710
34,palmerjeffrey,Twitter,768799,3,0.0834,578.63,0.0133,36091
35,vgriffith,Twitter,938465,3,0.0834,422.04,0.0418,7719
36,hardyjames,Twitter,803181,5,0.0986,798.96,0.0357,48056
37,nicolegalloway,Twitter,861883,3,0.0834,894.32,0.0496,41776
38,lisa14,TikTok,588597,6,0.0856,932.62,0.038,27980
39,gacosta,LinkedIn,863013,6,0.0834,287.9,0.0298,38547
40,lori07,Instagram,381266,3,0.0834,278.42,0.0202,7876
41,ipreston,Instagram,203880,1,0.0834,244.21,0.0492,2885
42,dmiller,Instagram,841408,1,0.0986,224.07,0.0245,16849
43,nblake,Facebook,861745,1,0.0986,133.64,0.0416,28711
44,larry14,Instagram,792801,2,0.0642,54.61,0.0165,3418
45,kevingarcia,Facebook,336649,3,0.0856,742.79,0.0307,31216
46,laura55,Instagram,109261,6,0.0986,546.44,0.0419,22974
47,michellemcdaniel,TikTok,978420,5,0.0834,94.05,0.0302,6341
48,brandon78,LinkedIn,194257,6,0.0642,868.22,0.0216,32574
49,racheldodson,Twitter,338103,5,0.0642,162.02,0.0133,41395
50,brady22,Instagram,26474,1,0.0856,771.95,0.0237,46602
51,hbrooks,Instagram,636805,5,0.0834,139.18,0.0385,42138
52,vincentwang,TikTok,304270,2,0.0834,135.73,0.0423,15528
53,grahamallison,LinkedIn,870866,3,0.0834,301.92,0.0104,35612
54,elizabeth86,Facebook,179124,1,0.0642,557.81,0.0178,18973
55,lisa14,TikTok,271022,3,0.102,851.98,0.0354,22596
56,jonesaustin,Twitter,572419,4,0.0642,966.47,0.0369,39144
57,beth19,TikTok,206004,7,0.0856,570.51,0.0448,18786
