Species,Island,Clutch Completion,Date Egg,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo)
Chinstrap,Dream,Yes,382,50.9,19.1,196.0,3550.0,MALE,10.02372,-24.86594
Chinstrap,Dream,Yes,741,45.2,17.8,198.0,3950.0,FEMALE,8.88942,-24.49433
Gentoo,Biscoe,Yes,744,46.5,13.5,210.0,4550.0,FEMALE,7.9953,-25.32829
Chinstrap,Dream,Yes,10,45.2,16.6,191.0,3250.0,FEMALE,9.62357,-24.78984
Gentoo,Biscoe,Yes,13,48.4,14.4,203.0,4625.0,FEMALE,8.16582,-26.13971
Gentoo,Biscoe,Yes,22,48.1,15.1,209.0,5500.0,MALE,8.45738,-26.22664
Gentoo,Biscoe,Yes,13,51.1,16.5,225.0,5250.0,MALE,8.2066,-26.36863
Gentoo,Biscoe,No,392,42.7,13.7,208.0,3950.0,FEMALE,8.14567,-26.59467
Adelie,Biscoe,Yes,14,39.6,20.7,191.0,3900.0,FEMALE,8.80967,-26.78958
Gentoo,Biscoe,Yes,735,46.1,13.2,211.0,4500.0,FEMALE,7.993,-25.5139
Gentoo,Biscoe,Yes,6,47.5,15.0,218.0,4950.0,FEMALE,8.29671,-26.08547
Adelie,Biscoe,Yes,16,37.9,18.6,193.0,2925.0,FEMALE,9.02642,-25.86482
Adelie,Dream,Yes,743,36.0,18.5,186.0,3100.0,FEMALE,9.50772,-25.03492
Adelie,Dream,Yes,382,35.7,18.0,202.0,3550.0,FEMALE,8.46531,-26.05621
Gentoo,Biscoe,Yes,13,49.1,14.5,212.0,4625.0,FEMALE,8.35802,-26.2766
Adelie,Biscoe,Yes,383,41.1,18.2,192.0,4050.0,MALE,8.62264,-26.60023
Adelie,Biscoe,Yes,19,38.1,16.5,198.0,3825.0,FEMALE,8.43951,-26.57563
Gentoo,Biscoe,Yes,744,47.6,14.5,215.0,5400.0,MALE,8.2345,-25.54456
Gentoo,Biscoe,Yes,4,51.5,16.3,230.0,5500.0,MALE,8.78557,-25.76147
Adelie,Torgersen,Yes,388,42.8,18.5,195.0,4250.0,MALE,8.2993,-26.38986
Adelie,Dream,Yes,15,40.2,20.1,200.0,3975.0,MALE,8.95998,-26.32601
Adelie,Biscoe,Yes,752,35.3,18.9,187.0,3800.0,FEMALE,9.21292,-24.3613
Gentoo,Biscoe,No,387,50.5,15.9,225.0,5400.0,MALE,8.65803,-26.57585
Adelie,Torgersen,Yes,753,42.0,20.2,190.0,4250.0,,9.13362,-25.09368
Chinstrap,Dream,No,743,50.0,19.5,196.0,3900.0,MALE,8.92069,-24.23592
Chinstrap,Dream,Yes,382,46.4,17.8,191.0,3700.0,FEMALE,9.37369,-24.52896
Adelie,Biscoe,Yes,11,43.2,19.0,197.0,4775.0,MALE,9.31735,-25.45171
Chinstrap,Dream,Yes,372,54.2,20.8,201.0,4300.0,MALE,9.49283,-24.59996
Adelie,Dream,Yes,14,36.0,17.8,195.0,3450.0,FEMALE,8.94332,-25.79189
Chinstrap,Dream,Yes,734,46.1,18.2,178.0,3250.0,FEMALE,8.85664,-24.55644
Adelie,Biscoe,Yes,381,40.6,18.8,193.0,3800.0,MALE,8.56674,-25.98843
Adelie,Torgersen,Yes,385,39.6,17.2,196.0,3550.0,FEMALE,8.33524,-26.55351
Chinstrap,Dream,Yes,10,50.2,18.7,198.0,3775.0,FEMALE,9.39305,-24.25255
Adelie,Torgersen,Yes,9,41.1,18.6,189.0,3325.0,MALE,9.32277,-26.09989
Adelie,Dream,No,749,39.8,19.1,184.0,4650.0,MALE,,
Adelie,Torgersen,Yes,9,35.7,17.0,189.0,3350.0,FEMALE,8.96436,-23.90309
Gentoo,Biscoe,Yes,383,50.7,15.0,223.0,5550.0,MALE,8.63551,-26.74249
Chinstrap,Dream,Yes,372,46.2,17.5,187.0,3650.0,FEMALE,9.61734,-24.66188
Adelie,Torgersen,Yes,746,39.3,20.6,190.0,3650.0,MALE,8.66496,-25.29805
Chinstrap,Dream,Yes,10,50.2,18.8,202.0,3800.0,MALE,9.74492,-24.404
Gentoo,Biscoe,Yes,393,45.3,13.8,208.0,4200.0,FEMALE,8.65015,-26.79053
Gentoo,Biscoe,Yes,0,44.5,15.7,217.0,4875.0,.,8.04111,-26.18444
Gentoo,Biscoe,Yes,9,50.4,15.7,222.0,5750.0,MALE,8.30166,-26.04117
Adelie,Torgersen,Yes,389,36.7,18.8,187.0,3800.0,FEMALE,7.88494,-26.24837
Adelie,Torgersen,Yes,746,,,,,,,
Adelie,Biscoe,Yes,22,41.0,20.0,203.0,4725.0,MALE,9.01079,-26.38085
